profile.id,chromosome,N.data,max.segments,sum.splits,max.depth
111,19,93,N.data,731,17
111,2,411,10,2373,6
111,2,411,N.data,5682,31
111,20,136,10,576,5
111,20,136,N.data,1093,16
111,21,69,10,302,5
111,21,69,N.data,451,13
111,22,101,10,463,6
111,22,101,N.data,780,14
111,3,381,10,2374,7
111,3,381,N.data,4477,20
111,4,319,10,1261,5
111,4,319,N.data,3863,23
111,5,301,10,1105,5
111,5,301,N.data,2972,18
111,6,275,10,1682,7
111,6,275,N.data,3293,21
111,7,233,10,1129,5
111,7,233,N.data,2429,22
111,8,302,10,1974,6
111,8,302,N.data,3939,23
111,9,193,10,701,6
111,9,193,N.data,1711,18
111,X,225,10,962,6
111,X,225,N.data,2265,18
111,Y,43,10,200,5
111,Y,43,N.data,258,11
112,1,533,10,2301,5
112,1,533,N.data,6876,24
112,10,193,10,744,5
112,10,193,N.data,1861,21
112,11,198,10,741,7
112,11,198,N.data,1818,21
112,12,249,10,1131,7
112,12,249,N.data,2318,17
112,13,132,10,519,5
112,13,132,N.data,1175,18
112,14,114,10,450,5
112,14,114,N.data,968,16
112,15,122,10,547,5
112,15,122,N.data,976,16
112,16,119,10,554,6
112,16,119,N.data,970,15
112,17,188,10,653,6
112,17,188,N.data,1968,22
112,18,107,10,467,6
112,18,107,N.data,915,18
112,19,73,10,307,5
112,19,73,N.data,554,13
112,2,332,10,1589,4
112,2,332,N.data,4660,27
112,20,120,10,649,7
112,20,120,N.data,1125,16
112,21,61,10,297,5
112,21,61,N.data,494,16
112,22,94,10,355,7
112,22,94,N.data,717,16
112,3,253,10,1132,8
112,3,253,N.data,2557,19
112,4,235,10,1407,6
112,4,235,N.data,3214,24
112,5,256,10,1147,6
112,5,256,N.data,2993,25
112,6,223,10,1092,5
112,6,223,N.data,2373,19
112,7,182,10,859,6
112,7,182,N.data,1690,21
112,8,194,10,1181,7
112,8,194,N.data,2459,29
112,9,169,10,749,5
112,9,169,N.data,1556,18
112,X,186,10,878,6
112,X,186,N.data,1595,16
112,Y,27,10,97,5
112,Y,27,N.data,115,7
113,1,307,10,1225,5
113,1,307,N.data,3529,23
113,10,90,10,518,6
113,10,90,N.data,801,17
113,11,103,10,407,8
113,11,103,N.data,756,13
113,12,125,10,474,5
113,12,125,N.data,928,13
113,13,69,10,409,6
113,13,69,N.data,617,18
113,14,50,10,212,5
113,14,50,N.data,291,10
113,15,57,10,289,6
113,15,57,N.data,394,13
113,16,54,10,247,5
113,16,54,N.data,351,11
113,17,99,10,432,4
113,17,99,N.data,815,15
113,18,51,10,189,6
113,18,51,N.data,259,8
113,19,35,10,181,7
113,19,35,N.data,217,10
113,2,176,10,602,5
113,2,176,N.data,1817,23
113,20,64,10,307,7
113,20,64,N.data,440,12
113,21,27,10,100,5
113,21,27,N.data,120,8
113,22,51,10,180,5
113,22,51,N.data,294,10
113,3,119,10,454,6
113,3,119,N.data,966,16
113,4,95,10,698,9
113,4,95,N.data,960,18
113,5,126,10,684,6
113,5,126,N.data,1197,17
113,6,102,10,457,5
113,6,102,N.data,779,14
113,7,81,10,345,5
113,7,81,N.data,596,13
113,8,84,10,380,5
113,8,84,N.data,674,17
113,9,81,10,314,5
113,9,81,N.data,529,10
113,X,68,10,270,5
113,X,68,N.data,430,12
114,1,530,10,1804,5
114,1,530,N.data,6827,24
114,10,192,10,1075,5
114,10,192,N.data,2144,22
114,11,199,10,684,6
114,11,199,N.data,1794,17
114,12,250,10,978,4
114,12,250,N.data,2208,15
114,13,130,10,502,5
114,13,130,N.data,1097,15
114,14,115,10,488,5
114,14,115,N.data,1077,21
114,15,122,10,602,5
114,15,122,N.data,1164,16
114,16,119,10,624,5
114,16,119,N.data,1053,16
114,17,187,10,689,5
114,17,187,N.data,1716,18
114,18,105,10,516,6
114,18,105,N.data,897,16
114,19,75,10,343,5
114,19,75,N.data,754,18
114,2,330,10,1243,5
114,2,330,N.data,4213,23
114,20,124,10,443,6
114,20,124,N.data,908,13
114,21,61,10,324,6
114,21,61,N.data,498,15
114,22,93,10,419,4
114,22,93,N.data,777,16
114,3,255,10,821,5
114,3,255,N.data,2590,24
114,4,238,10,1195,8
114,4,238,N.data,2520,23
114,5,256,10,1188,6
114,5,256,N.data,2644,19
114,6,221,10,1424,7
114,6,221,N.data,2490,20
114,7,182,10,686,6
114,7,182,N.data,2097,27
114,8,192,10,910,6
114,8,192,N.data,1837,17
114,9,168,10,653,5
114,9,168,N.data,1610,20
114,X,186,10,878,6
114,X,186,N.data,1789,19
114,Y,28,10,112,6
114,Y,28,N.data,129,8
115,1,374,10,1630,6
115,1,374,N.data,3969,20
115,10,100,10,350,5
115,10,100,N.data,760,15
115,11,115,10,395,6
115,11,115,N.data,846,12
115,12,153,10,737,6
115,12,153,N.data,1673,21
115,13,72,10,445,6
115,13,72,N.data,728,17
115,14,59,10,292,6
115,14,59,N.data,395,11
115,15,71,10,329,4
115,15,71,N.data,521,12
115,16,60,10,301,5
115,16,60,N.data,510,16
115,17,116,10,427,6
115,17,116,N.data,865,14
115,18,60,10,262,4
115,18,60,N.data,463,18
115,19,37,10,153,6
115,19,37,N.data,191,9
115,2,186,10,888,6
115,2,186,N.data,1874,19
115,20,72,10,322,6
115,20,72,N.data,607,17
115,21,29,10,107,5
115,21,29,N.data,126,7
115,22,60,10,232,6
115,22,60,N.data,390,11
115,3,128,10,438,7
115,3,128,N.data,1255,18
115,4,105,10,375,5
115,4,105,N.data,780,14
115,5,141,10,610,4
115,5,141,N.data,1098,16
115,6,107,10,484,6
115,6,107,N.data,1037,22
115,7,89,10,305,5
115,7,89,N.data,616,13
115,8,86,10,401,6
115,8,86,N.data,729,17
115,9,92,10,615,8
115,9,92,N.data,1008,20
115,X,90,10,325,5
115,X,90,N.data,674,15
116,1,424,10,1998,5
116,1,424,N.data,4509,19
116,10,107,10,496,5
116,10,107,N.data,825,14
116,11,123,10,691,6
116,11,123,N.data,1072,16
116,12,171,10,914,5
116,12,171,N.data,1655,17
116,13,82,10,399,5
116,13,82,N.data,681,16
116,14,70,10,455,7
116,14,70,N.data,649,18
116,15,74,10,337,5
116,15,74,N.data,547,14
